Código,Descrição
200092,CAIXA BOTOEIRA 1 BOTÃO 75 X 75 X 57 SOBREPOR
200093,FRONT. BOT. EMERG. TRV. GIR. 30MM S-PFN1R3
200095,BLOCO DE CONTATO NF S-PL41
200096,BLOCO DE CONTATO NA S-PL42
200097,PRENSA CB 04 PVC PG16 X 1.5
200098,"CONECTOR SINDAL 06,0MM 250V 41A"
200099,"CONECTOR SINDAL 04,0MM 250V 32A"
200100,PRENSA CB PVC PG11 DIAM. 5-10
200101,"TERMINAL TIPO PINO 02,70-06,60MM² LONGO"
200102,"TERMINAL TIPO PINO 01,30-02,60MM² LONGO+"
200104,RACK 32UX19X770 PORTA VIDRO PT MULTIWAY
200105,BANDEJA FIXA CH20 4P 1UX600MM PT SOLUC.
200106,BANDEJA DESLIZANTE 1U 700MM PT MULTIWAY
200107,NO BREAK 1400
200108,"MONITOR LED 21.5"""
200109,COMPUTADOR I7
200110,PL PCI-E 2 SERIAL E 1 PARALELA
200111,WINDOWS 10 PROF. OEM 64BITS
200112,TECLADO + MOUSE
200113,CÉLULA DE CARGA HBM MOD. PW15BC3/15KG
200114,"MANILHA P/ CABO DE AÇO 1/2"""
200118,TACOMETRO. 3500RPM 12/24V 85MM PRETO C/DISPLAY CÓD.100105
200121,INDICADOR DE PRESSÃO 0-10 BAR 12V 52MM (10/180 OHMS) CÓD.100107
200122,SENSOR DE PRESSÃO DO ÓLEO 0-10BAR C/WK ROSCA M10 CÓD.TB10WKM10
200123,IND. TEMP. 120ºC 52MM 12V MOST PRETO CÓD.100110
200124,SENSOR DE TEMPERATURA 120C C/ WK 100+-3 ROSCA M14 CÓD.TS120WK
200125,VOLTIMETRO 8-16V 12V DIAM. 52MM CÓD.100071
200126,TAMPA TANQUE PLASTICO C/CHAVE ROSCA INT.
200129,"SILENCIOSO INDUSTRIAL DIAM. 3"" X 390 X 400 (SFL) CÓD.ABC0003 R"
200130,"BOCAL ARTICULADO DIAM. 3"" (ALUMINIO FUNDIDO) CÓD.ABC0265 A"
200131,"TUBO OD DIAM.3"" X 1000MM X #2.00MM CÓD.ABC0288-1"
200132,"KIT FLEXÍVEL ESCAPE DIAM. 3"" X 280 PPE C/ ABRAÇADEIRAS CÓD.ABC0305 Q"
200133,"TUBO ADAPTADOR DIAM. 3"" X 60 C/ FLTRI PERKINS 1104 CÓD. ABC0806 U"
200134,TELA ANTIAFIDEO LARG. 5.0M 50 MACHE
200137,BANDA ELASTICA PUMAFLEX AP-70
200143,FILTRO SPIN ON 7 SL 130H20XL-S00-01C-R0M00 REF:R928051692 CÓD.07182
200144,FILTRO SPIN ON 7 SL 90 H10XL-S00-040-R0M00 CÓD.05032
200145,VALVULA C/FL LIV UNID F/F ACO 1/2 CÓD.07575
200150,VALVULA RETEN. SIMP. 3/4 PISTAO 80LTS 350 BAR CÓD.08249
200151,VALVULA ESFERA VET  S1000 1.1/4 CÓD.08412
